l3_index_code,股票代码,股票简称,纳入时间,申万3级
851233.SI,000869.SZ,张裕A,2021-12-13,其他酒类
851271.SI,300997.SZ,欢乐家,2021-12-13,软饮料
851271.SI,600189.SH,泉阳泉,2021-12-13,软饮料
851271.SI,600300.SH,维维股份,2021-12-13,软饮料
851271.SI,603156.SH,养元饮品,2021-12-13,软饮料
851271.SI,603711.SH,香飘飘,2021-12-13,软饮料
851271.SI,605337.SH,李子园,2021-12-13,软饮料
851271.SI,605499.SH,东鹏饮料,2021-12-13,软饮料
851271.SI,000848.SZ,承德露露,2021-12-13,软饮料
851243.SI,002570.SZ,贝因美,2021-12-13,乳品
851243.SI,002732.SZ,燕塘乳业,2021-12-13,乳品
851243.SI,002910.SZ,庄园牧场,2021-12-13,乳品
851243.SI,002946.SZ,新乳业,2021-12-13,乳品
851243.SI,300106.SZ,西部牧业,2021-12-13,乳品
851243.SI,300898.SZ,熊猫乳品,2021-12-13,乳品
851243.SI,300915.SZ,海融科技,2021-12-13,乳品
851243.SI,600419.SH,天润乳业,2021-12-13,乳品
851243.SI,600429.SH,三元股份,2021-12-13,乳品
851243.SI,600597.SH,光明乳业,2021-12-13,乳品
851243.SI,600882.SH,妙可蓝多,2021-12-13,乳品
851243.SI,600887.SH,伊利股份,2021-12-13,乳品
851243.SI,605179.SH,一鸣食品,2021-12-13,乳品
851243.SI,605300.SH,佳禾食品,2021-12-13,乳品
851243.SI,605388.SH,均瑶健康,2021-12-13,乳品
851243.SI,001318.SZ,阳光乳业,2022-05-20,乳品
851243.SI,300892.SZ,品渥食品,2022-08-01,乳品
851243.SI,002329.SZ,皇氏集团,2021-12-13,乳品
851281.SI,002582.SZ,好想你,2021-12-13,零食
851281.SI,002847.SZ,盐津铺子,2021-12-13,零食
851281.SI,002991.SZ,甘源食品,2021-12-13,零食
851281.SI,003000.SZ,劲仔食品,2021-12-13,零食
851281.SI,300783.SZ,三只松鼠,2021-12-13,零食
851281.SI,603697.SH,有友食品,2021-12-13,零食
851281.SI,603719.SH,良品铺子,2021-12-13,零食
851281.SI,603777.SH,来伊份,2021-12-13,零食
851281.SI,000716.SZ,黑芝麻,2022-08-01,零食
851281.SI,002557.SZ,洽洽食品,2021-12-13,零食
851282.SI,002820.SZ,桂发祥,2021-12-13,烘焙食品
851282.SI,002956.SZ,西麦食品,2021-12-13,烘焙食品
851282.SI,300973.SZ,立高食品,2021-12-13,烘焙食品
851282.SI,603043.SH,广州酒家,2021-12-13,烘焙食品
851282.SI,603866.SH,桃李面包,2021-12-13,烘焙食品
851282.SI,603886.SH,元祖股份,2021-12-13,烘焙食品
851282.SI,605339.SH,南侨食品,2021-12-13,烘焙食品
851282.SI,002719.SZ,ST麦趣,2024-07-31,烘焙食品
851282.SI,001219.SZ,青岛食品,2021-12-13,烘焙食品
851283.SI,603517.SH,ST绝味,2021-12-13,熟食
851283.SI,603057.SH,紫燕食品,2022-09-26,熟食
851283.SI,002695.SZ,煌上煌,2021-12-13,熟食
851242.SI,002507.SZ,涪陵榨菜,2021-12-13,调味发酵品Ⅲ
851242.SI,002650.SZ,ST加加,2021-12-13,调味发酵品Ⅲ
851242.SI,300908.SZ,仲景食品,2021-12-13,调味发酵品Ⅲ
851242.SI,600186.SH,莲花控股,2021-12-13,调味发酵品Ⅲ
851242.SI,600298.SH,安琪酵母,2021-12-13,调味发酵品Ⅲ
851242.SI,600305.SH,恒顺醋业,2021-12-13,调味发酵品Ⅲ
851242.SI,600872.SH,中炬高新,2021-12-13,调味发酵品Ⅲ
851242.SI,603027.SH,千禾味业,2021-12-13,调味发酵品Ⅲ
851242.SI,603288.SH,海天味业,2021-12-13,调味发酵品Ⅲ
851242.SI,603317.SH,天味食品,2021-12-13,调味发酵品Ⅲ
851242.SI,603696.SH,安记食品,2021-12-13,调味发酵品Ⅲ
851242.SI,603755.SH,日辰股份,2021-12-13,调味发酵品Ⅲ
851242.SI,603170.SH,宝立食品,2022-07-15,调味发酵品Ⅲ
851242.SI,002495.SZ,佳隆股份,2021-12-13,调味发酵品Ⅲ
851312.SI,000850.SZ,华茂股份,2021-12-13,棉纺
851312.SI,002042.SZ,华孚时尚,2021-12-13,棉纺
851312.SI,002083.SZ,孚日股份,2021-12-13,棉纺
851312.SI,002394.SZ,联发股份,2021-12-13,棉纺
851312.SI,600493.SH,凤竹纺织,2021-12-13,棉纺
851312.SI,601339.SH,百隆东方,2021-12-13,棉纺
851312.SI,603558.SH,健盛集团,2021-12-13,棉纺
851312.SI,000726.SZ,鲁泰A,2021-12-13,棉纺
851314.SI,600987.SH,航民股份,2021-12-13,印染
851314.SI,605055.SH,迎丰股份,2021-12-13,印染
851314.SI,605189.SH,富春染织,2021-12-13,印染
851314.SI,600448.SH,华纺股份,2021-12-13,印染
851315.SI,002098.SZ,浔兴股份,2021-12-13,辅料
851315.SI,002674.SZ,兴业科技,2021-12-13,辅料
851315.SI,002003.SZ,伟星股份,2021-12-13,辅料
851316.SI,002144.SZ,宏达高科,2021-12-13,其他纺织
851316.SI,300819.SZ,聚杰微纤,2021-12-13,其他纺织
851316.SI,300877.SZ,金春股份,2021-12-13,其他纺织
851316.SI,300918.SZ,南山智尚,2021-12-13,其他纺织
851316.SI,600156.SH,华升股份,2021-12-13,其他纺织
851316.SI,600527.SH,江南高纤,2021-12-13,其他纺织
851316.SI,601599.SH,浙文影业,2021-12-13,其他纺织
851316.SI,603055.SH,台华新材,2021-12-13,其他纺织
851316.SI,603889.SH,新澳股份,2021-12-13,其他纺织
851316.SI,605180.SH,华生科技,2021-12-13,其他纺织
851316.SI,301066.SZ,万事利,2022-08-01,其他纺织
851316.SI,603130.SH,云中马,2022-11-18,其他纺织
851316.SI,001390.SZ,古麒绒材,2025-05-29,其他纺织
851316.SI,603238.SH,诺邦股份,2025-08-13,其他纺织
851316.SI,001312.SZ,福恩股份,2026-04-21,其他纺织
851316.SI,000955.SZ,欣龙控股,2021-12-13,其他纺织
851317.SI,300979.SZ,华利集团,2021-12-13,纺织鞋类制造
851325.SI,300591.SZ,万里马,2021-12-13,鞋帽及其他
851325.SI,300952.SZ,恒辉安防,2021-12-13,鞋帽及其他
851325.SI,603001.SH,奥康国际,2021-12-13,鞋帽及其他
851325.SI,603116.SH,红蜻蜓,2021-12-13,鞋帽及其他
851325.SI,603557.SH,*ST起步,2021-12-13,鞋帽及其他
851325.SI,603608.SH,天创时尚,2021-12-13,鞋帽及其他
851325.SI,603665.SH,康隆达,2021-12-13,鞋帽及其他
851325.SI,603908.SH,牧高笛,2021-12-13,鞋帽及其他
851325.SI,603958.SH,哈森股份,2021-12-13,鞋帽及其他
851325.SI,603307.SH,扬州金泉,2023-02-16,鞋帽及其他
851325.SI,300577.SZ,开润股份,2021-12-13,鞋帽及其他
851326.SI,002327.SZ,富安娜,2021-12-13,家纺
851326.SI,002397.SZ,梦洁股份,2021-12-13,家纺
851326.SI,003041.SZ,真爱美家,2021-12-13,家纺
851326.SI,603365.SH,水星家纺,2021-12-13,家纺
851326.SI,605003.SH,众望布艺,2021-12-13,家纺
851326.SI,002293.SZ,罗莱生活,2021-12-13,家纺
851328.SI,300005.SZ,探路者,2021-12-13,运动服装
851328.SI,001234.SZ,泰慕士,2024-07-31,运动服装
851328.SI,002486.SZ,嘉麟杰,2024-07-31,运动服装
851328.SI,002780.SZ,三夫户外,2021-12-13,运动服装
851329.SI,002029.SZ,七匹狼,2021-12-13,非运动服装
851329.SI,002154.SZ,报喜鸟,2021-12-13,非运动服装
851329.SI,002269.SZ,美邦服饰,2021-12-13,非运动服装
851329.SI,002494.SZ,华斯股份,2021-12-13,非运动服装
851329.SI,002563.SZ,森马服饰,2021-12-13,非运动服装
851329.SI,002569.SZ,*ST步森,2021-12-13,非运动服装
851329.SI,002612.SZ,朗姿股份,2021-12-13,非运动服装
851329.SI,002656.SZ,摩登大道,2021-12-13,非运动服装
851329.SI,002687.SZ,乔治白,2021-12-13,非运动服装
851329.SI,002762.SZ,金发拉比,2021-12-13,非运动服装
851329.SI,002832.SZ,比音勒芬,2021-12-13,非运动服装
851329.SI,002875.SZ,安奈儿,2021-12-13,非运动服装
851329.SI,003016.SZ,欣贺股份,2021-12-13,非运动服装
851329.SI,300840.SZ,酷特智能,2021-12-13,非运动服装
851329.SI,300901.SZ,中胤时尚,2021-12-13,非运动服装
851329.SI,301088.SZ,戎美股份,2021-12-13,非运动服装
851329.SI,600107.SH,*ST尔雅,2021-12-13,非运动服装
851329.SI,600177.SH,雅戈尔,2021-12-13,非运动服装
851329.SI,600398.SH,海澜之家,2021-12-13,非运动服装
851329.SI,600400.SH,红豆股份,2021-12-13,非运动服装
851329.SI,600630.SH,龙头股份,2021-12-13,非运动服装
851329.SI,601566.SH,九牧王,2021-12-13,非运动服装
851329.SI,601718.SH,ST际华,2021-12-13,非运动服装
851329.SI,603196.SH,璞源材料,2021-12-13,非运动服装
851329.SI,603518.SH,锦泓集团,2021-12-13,非运动服装
851329.SI,603587.SH,地素时尚,2021-12-13,非运动服装
851329.SI,603808.SH,歌力思,2021-12-13,非运动服装
851329.SI,603839.SH,安正时尚,2021-12-13,非运动服装
851329.SI,603877.SH,太平鸟,2021-12-13,非运动服装
851329.SI,605138.SH,盛泰集团,2021-12-13,非运动服装
851329.SI,301276.SZ,嘉曼服饰,2022-09-09,非运动服装
851329.SI,002193.SZ,ST如意,2024-07-31,非运动服装
851329.SI,002404.SZ,嘉欣丝绸,2024-07-31,非运动服装
851329.SI,002634.SZ,*ST棒杰,2024-07-31,非运动服装
851329.SI,002763.SZ,汇洁股份,2024-07-31,非运动服装
851329.SI,600137.SH,浪莎股份,2024-07-31,非运动服装
851329.SI,603511.SH,爱慕股份,2024-07-31,非运动服装
851329.SI,001209.SZ,洪兴股份,2021-12-13,非运动服装
851331.SI,002345.SZ,潮宏基,2021-12-13,钟表珠宝
851331.SI,002574.SZ,明牌珠宝,2021-12-13,钟表珠宝
851331.SI,002721.SZ,金一文化,2021-12-13,钟表珠宝
851331.SI,002731.SZ,*ST萃华,2021-12-13,钟表珠宝
851331.SI,002867.SZ,周大生,2021-12-13,钟表珠宝
851331.SI,300945.SZ,曼卡龙,2021-12-13,钟表珠宝
851331.SI,600612.SH,老凤祥,2021-12-13,钟表珠宝
851331.SI,600916.SH,中国黄金,2021-12-13,钟表珠宝
851331.SI,603900.SH,莱绅通灵,2021-12-13,钟表珠宝
851331.SI,605599.SH,菜百股份,2021-12-13,钟表珠宝
851331.SI,301177.SZ,迪阿股份,2021-12-15,钟表珠宝
851331.SI,000017.SZ,深中华A,2022-08-01,钟表珠宝
851331.SI,000026.SZ,飞亚达,2021-12-13,钟表珠宝
851333.SI,600735.SH,ST新华锦,2021-12-13,其他饰品
851333.SI,600439.SH,ST瑞贝卡,2021-12-13,其他饰品
851412.SI,002067.SZ,景兴纸业,2021-12-13,大宗用纸
851412.SI,002078.SZ,太阳纸业,2021-12-13,大宗用纸
851412.SI,600308.SH,华泰股份,2021-12-13,大宗用纸
851412.SI,600567.SH,山鹰国际,2021-12-13,大宗用纸
851412.SI,600963.SH,岳阳林纸,2021-12-13,大宗用纸
851412.SI,600966.SH,博汇纸业,2021-12-13,大宗用纸
851412.SI,603165.SH,荣晟环保,2021-12-13,大宗用纸
851412.SI,603863.SH,松炀资源,2021-12-13,大宗用纸
851412.SI,605500.SH,森林包装,2021-12-13,大宗用纸
851412.SI,603284.SH,林平发展,2026-02-10,大宗用纸
851412.SI,000488.SZ,ST晨鸣,2021-12-13,大宗用纸
851413.SI,002235.SZ,安妮股份,2021-12-13,特种纸
851413.SI,002521.SZ,齐峰新材,2021-12-13,特种纸
851413.SI,600103.SH,青山纸业,2021-12-13,特种纸
851413.SI,600235.SH,民丰特纸,2021-12-13,特种纸
851413.SI,600356.SH,恒丰纸业,2021-12-13,特种纸
851413.SI,600433.SH,冠豪高新,2021-12-13,特种纸
851413.SI,600793.SH,宜宾纸业,2021-12-13,特种纸
851413.SI,603733.SH,仙鹤股份,2021-12-13,特种纸
851413.SI,605007.SH,五洲特纸,2021-12-13,特种纸
851413.SI,605377.SH,华旺科技,2021-12-13,特种纸
851413.SI,301469.SZ,恒达新材,2023-08-22,特种纸
851413.SI,002012.SZ,凯恩股份,2021-12-13,特种纸
851422.SI,002599.SZ,盛通股份,2021-12-13,印刷
851422.SI,001279.SZ,强邦新材,2024-10-11,印刷
851422.SI,002117.SZ,东港股份,2021-12-13,印刷
851423.SI,002701.SZ,奥瑞金,2021-12-13,金属包装
851423.SI,002752.SZ,昇兴股份,2021-12-13,金属包装
851423.SI,002787.SZ,华源控股,2021-12-13,金属包装
851423.SI,002846.SZ,英联股份,2021-12-13,金属包装
851423.SI,002969.SZ,嘉美包装,2021-12-13,金属包装
851423.SI,601968.SH,宝钢包装,2021-12-13,金属包装
851423.SI,002374.SZ,中锐股份,2021-12-13,金属包装
851424.SI,002014.SZ,永新股份,2021-12-13,塑料包装
851424.SI,002735.SZ,王子新材,2021-12-13,塑料包装
851424.SI,003018.SZ,金富科技,2021-12-13,塑料包装
851424.SI,301198.SZ,喜悦智行,2021-12-13,塑料包装
851424.SI,600210.SH,紫江企业,2021-12-13,塑料包装
851424.SI,000659.SZ,珠海中富,2021-12-13,塑料包装
851425.SI,002191.SZ,劲嘉股份,2021-12-13,纸包装
851425.SI,002228.SZ,合兴包装,2021-12-13,纸包装
851425.SI,002303.SZ,美盈森,2021-12-13,纸包装
851425.SI,002565.SZ,顺灏股份,2021-12-13,纸包装
851425.SI,002799.SZ,环球印务,2021-12-13,纸包装
851425.SI,002831.SZ,裕同科技,2021-12-13,纸包装
851425.SI,002836.SZ,新宏泽,2021-12-13,纸包装
851425.SI,300883.SZ,龙利得,2021-12-13,纸包装
851425.SI,301062.SZ,上海艾录,2021-12-13,纸包装
851425.SI,601515.SH,衢州东峰,2021-12-13,纸包装
851425.SI,603058.SH,永吉股份,2021-12-13,纸包装
851425.SI,603429.SH,*ST集友,2021-12-13,纸包装
851425.SI,603499.SH,翔港科技,2021-12-13,纸包装
851425.SI,603687.SH,大胜达,2021-12-13,纸包装
851425.SI,301296.SZ,新巨丰,2022-09-02,纸包装
851425.SI,301223.SZ,中荣股份,2022-10-26,纸包装
851425.SI,301355.SZ,南王科技,2023-06-12,纸包装
851425.SI,603091.SH,众鑫股份,2024-08-30,纸包装
851425.SI,000812.SZ,陕西金叶,2021-12-13,纸包装
851426.SI,300501.SZ,海顺新材,2021-12-13,综合包装
851426.SI,603022.SH,新通联,2021-12-13,综合包装
851426.SI,603607.SH,京华激光,2021-12-13,综合包装
851426.SI,600076.SH,康欣新材,2022-08-01,综合包装
