l3_index_code,l3_industry_code,l3_name,l2_code,l2_name,l1_code,l1_name,股票代码,ts_code,股票简称,纳入时间,申万3级
850326.SI,220206,钛白粉,220200,化学原料,220000,基础化工,002145.SZ,002145.SZ,钛能化学,2021-07-30,钛白粉
850326.SI,220206,钛白粉,220200,化学原料,220000,基础化工,002601.SZ,002601.SZ,龙佰集团,2021-07-30,钛白粉
850326.SI,220206,钛白粉,220200,化学原料,220000,基础化工,300891.SZ,300891.SZ,惠云钛业,2021-07-30,钛白粉
850326.SI,220206,钛白粉,220200,化学原料,220000,基础化工,002136.SZ,002136.SZ,安纳达,2021-07-30,钛白粉
850326.SI,220206,钛白粉,220200,化学原料,220000,基础化工,600727.SH,600727.SH,鲁北化工,2021-07-30,钛白粉
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,603110.SH,603110.SH,东方材料,2017-09-25,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,300225.SZ,300225.SZ,金力泰,2011-01-24,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,301683.SZ,301683.SZ,慧谷新材,2026-03-23,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,688129.SH,688129.SH,东来技术,2020-10-16,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,301037.SZ,301037.SZ,保立佳,2021-07-30,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,300758.SZ,300758.SZ,七彩化学,2019-01-24,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,300665.SZ,300665.SZ,飞鹿股份,2017-06-05,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,603823.SH,603823.SH,百合花,2016-12-12,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,301209.SZ,301209.SZ,联合化学,2022-08-12,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,002319.SZ,002319.SZ,乐通股份,2009-01-23,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,688571.SH,688571.SH,杭华股份,2020-11-25,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,001335.SZ,001335.SZ,信凯科技,2025-03-21,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,301036.SZ,301036.SZ,双乐股份,2021-07-12,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,000565.SZ,000565.SZ,渝三峡A,2011-01-10,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,603062.SH,603062.SH,麦加芯彩,2023-10-27,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,688157.SH,688157.SH,松井股份,2020-05-25,涂料油墨
850335.SI,220305,涂料油墨,220300,化学制品,220000,基础化工,300522.SZ,300522.SZ,世名科技,2018-07-13,涂料油墨
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002360.SZ,002360.SZ,ST同德,2010-01-04,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002683.SZ,002683.SZ,广东宏大,2012-01-30,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002226.SZ,002226.SZ,江南化工,2008-04-14,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002827.SZ,002827.SZ,高争民爆,2016-12-01,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002037.SZ,002037.SZ,保利联合,2004-09-07,民爆制品
850337.SI,220307,民爆制品,220300,化学制品,220000,基础化工,002497.SZ,002497.SZ,雅化集团,2024-07-30,民爆制品
